
==========================================================================
FULL 2024 BACKTEST (Delta India, daily-expiry BTC short straddle, Premium<=15, 10 lots, 5% slippage)   2024-02-15 -> 2024-12-31   (321 days)
==========================================================================
date        status                   spot  liq   cheapC   cheapP      pnl$
2024-06-25  no_fill_P             60256.0    5      3.0    233.0    0.0000
2024-06-26  no_fill_C             61806.0    6     46.0      3.0    0.0000
2024-06-27  TRADED                60879.0    5      1.0      5.0    0.0739
2024-06-28  no_fill_P             61699.5    6      1.0     52.0    0.0000
2024-06-29  no_fill_P             60462.5    5      2.2     40.0    0.0000
2024-06-30  no_quotes             61012.5    0        -        -    0.0000
2024-07-01  no_fill_both          62823.0    6     34.0     32.0    0.0000
2024-07-02  no_fill_C             62930.5    5    274.0      2.0    0.0000
2024-07-03  no_fill_both          62144.0    2    303.0    130.0    0.0000
2024-07-04  no_fill_P             60263.0    4      0.1    119.0    0.0000
2024-07-05  no_fill_P             57189.0   11      0.2     54.0    0.0000
2024-07-06  TRADED                56600.0    5      1.0      3.0    0.0929
2024-07-07  no_fill_both          58208.0    6     22.0     34.0    0.0000
2024-07-08  no_fill_P             55907.5    9     14.0    197.0    0.0000
2024-07-09  no_fill_C             56684.0    7     48.0      4.5    0.0000
2024-07-10  TRADED                58021.5    6     14.0      0.2    0.1328
2024-07-11  TRADED                57673.5    9      9.0      2.0    0.1499
2024-07-12  TRADED                57369.0    6      0.5      2.8    0.0857
2024-07-13  no_fill_C             57934.0    5     19.0      3.0    0.0000
2024-07-14  no_fill_C             59226.0    7     40.6     14.0    0.0000
2024-07-15  no_fill_both          60774.0    7     62.7     16.0    0.0000
2024-07-16  no_fill_C             64741.0    9     71.0      1.0    0.0000
2024-07-17  no_fill_C             64987.5    8    119.0      2.0    0.0000
2024-07-18  no_fill_C             64151.0    9     25.0      5.0    0.0000
2024-07-19  no_fill_P             63993.5    8     14.4     35.0    0.0000
2024-07-20  no_fill_C             66720.0    5     25.0      3.0    0.0000
2024-07-21  no_fill_both          67174.5    5     87.0     18.0    0.0000
2024-07-22  no_fill_both          68219.0    7     75.0     19.0    0.0000
2024-07-23  no_fill_both          67549.0    4     23.0    165.0    0.0000
2024-07-24  no_fill_both          65927.0    4     93.0    284.0    0.0000
2024-07-25  no_fill_P             65454.0    8      2.0     36.0    0.0000
2024-07-26  TRADED                65826.5   15      0.3      0.1    0.2069
2024-07-27  no_fill_C             67923.5    7     17.0      0.2    0.0000
2024-07-28  no_fill_P             67798.0    8      6.0     41.0    0.0000
2024-07-29  no_fill_C             68258.5    8    101.0     10.0    0.0000
2024-07-30  no_fill_P             66847.0    7      4.0    130.0    0.0000
2024-07-31  no_fill_P             66187.0    5     15.0    305.0    0.0000
2024-08-01  no_fill_P             64661.5    7      6.0    124.0    0.0000
2024-08-02  TRADED                65401.5    9      1.0      3.0    0.0149
2024-08-03  no_fill_P             61542.0    7      4.0    155.0    0.0000
